lemma,frequency,rank
ηρεμώ,6110,330
μαθαι,6103,331
πρώτα,6088,332
θυμάμαι,6086,333
οπότε,5988,334
σχέδιο,5986,335
νοιάζω,5982,336
σωστός,5974,337
καν,5963,338
υπέροχος,5942,339
μισός,5939,340
δηλαδή,5931,341
ζωντανός,5912,342
ευκαιρία,5909,343
τόσος,5881,344
τηλέφωνο,5879,345
αξέρω,5877,346
σημαντικός,5842,347
κόρη,5835,348
εμπρός,5816,349
βδομάδα,5800,350
δολάριο,5791,351
τηλεφωνώ,5768,352
αληθινός,5751,353
λαμβάνω,5693,354
νιώθω,5691,355
μείνω,5645,356
μπαίνω,5550,357
τελευταίος,5545,358
αξίζω,5517,359
βγαίνω,5510,360
μυαλός,5508,361
σχολείο,5496,362
δυνατός,5490,363
πρόεδρος,5478,364
οδηγώ,5474,365
κοπέλα,5453,366
φωτογραφία,5444,367
όπου,5412,368
υπόθεση,5383,369
γη,5379,370
σκατά,5338,371
κοιμώ,5337,372
χριστός,5319,373
δέχομαι,5300,374
φυλακή,5282,375
παιχνίδι,5267,376
δοκιμάζω,5238,377
κάπου,5231,378
γιος,5228,379
βάνω,5177,380
καταλάβω,5170,381
δεύτερος,5128,382
λέξη,5113,383
ταινία,5093,384
αστείος,5079,385
άκος,5051,386
ασφάλεια,5030,387
υπόσχομαι,5019,388
χάρη,5011,389
περίεργος,5009,390
τελώ,5009,391
μοιάζω,4983,392
αποφασίζω,4982,393
σίνω,4933,394
γαμώ,4928,395
σημασία,4882,396
τουλάχιστο,4863,397
κοιτώ,4852,398
χώρα,4826,399
αντίο,4813,400
διαβάζω,4801,401
φαγητό,4790,402
φροντίζω,4790,403
χρήμα,4788,404
πυροβολώ,4786,405
αυτοκίνητο,4764,406
γράνω,4763,407
κατάσταση,4756,408
πουλώ,4740,409
ώστε,4721,410
ποιός,4721,411
επίσης,4706,412
χθες,4675,413
τύχη,4669,414
σηκώνω,4637,415
σχεδόν,4630,416
γάμος,4630,417
πλάκα,4630,418
σοβαρά,4616,419
φυγώ,4613,420
είδος,4582,421
σύντομα,4579,422
γειώ,4566,423
θέρω,4559,424
λείπω,4531,425
αναφέρω,4529,426
άσχημα,4506,427
καλημέρα,4505,428
άτομο,4496,429
μπράβο,4495,430
ακός,4476,431
υποθέτω,4460,432
ποτό,4458,433
μεταξύ,4431,434
καταστρέφω,4429,435
μαύρος,4417,436
ελεύθερος,4366,437
αρίσσω,4353,438
ασφαλής,4346,439
φορώ,4346,440
θεωρώ,4314,441
αθέλω,4312,442
γύρω,4311,443
έξυπνος,4234,444
στοιχείο,4207,445
εύκολος,4175,446
συμφωνώ,4123,447
σκέφω,4104,448
ήρχομαι,4101,449
ενδιαφέρω,4100,450
βιβλίο,4084,451
σταμάτω,4070,452
σώμα,4057,453
μυστικός,4052,454
έρθω,4041,455
συζητώ,4033,456
βασιλιάς,4030,457
συνέχεια,4011,458
τελικά,3968,459
έλεγχος,3961,460
υπόλοιπος,3959,461
επιλογή,3948,462
γονέας,3946,463
απαντώ,3938,464
μήνυμα,3926,465
απλός,3925,466
πρόσωπο,3924,467
τυχερός,3896,468
φωτιά,3893,469
τιμή,3880,470
αρκετός,3876,471
μουσικός,3863,472
συναντώ,3856,473
σκάφος,3842,474
μιλάω,3840,475
πτώμα,3837,476
επιτρέπω,3832,477
καφέ,3804,478
ελέγχω,3802,479
εβδομάδα,3775,480
μαμαίνω,3758,481
σπουδαίος,3742,482
εξηγώ,3740,483
παρά,3727,484
γλυκιός,3692,485
αρείζω,3690,486
πλοίο,3686,487
ενώ,3684,488
νοσοκομείο,3668,489
αρέσω,3658,490
φίλη,3647,491
εκατομμύριο,3646,492
μαθαίνω,3645,493
απάντηση,3643,494
καληνύχτα,3642,495
αεροπλάνο,3627,496
πάρα,3624,497
κάποτε,3607,498
αδερφή,3587,499
αισθάνομαι,3574,500
πληροφορία,3570,501
εκ,3563,502
ραντέβος,3552,503
δίπλα,3549,504
πιάζω,3546,505
ετοιμάζω,3533,506
φόνος,3523,507
νωρίς,3519,508
παντρέπω,3500,509
περιοχή,3494,510
σειρά,3493,511
άδεια,3490,512
ρε,3488,513
σύστημα,3481,514
παρακολουθώ,3478,515
γράμμα,3469,516
αγγίζω,3443,517
πράκτορας,3436,518
πόσα,3434,519
κρεβάτι,3426,520
μηχανή,3420,521
ερώτηση,3391,522
μαλακία,3391,523
ανήκω,3389,524
πλησιάζω,3379,525
όποιος,3376,526
ανάγκη,3374,527
αέρας,3369,528
ταξίδι,3361,529
κώλος,3347,530
περίπτωση,3340,531
εξαφανίζω,3328,532
πετυχαίνω,3325,533
πάρτι,3320,534
αφεντικό,3319,535
προχωρώ,3315,536
γεμάτος,3308,537
αργώ,3306,538
συμφωνία,3294,539
προτιμώ,3291,540
σκάσες,3289,541
περίπου,3278,542
περίνω,3277,543
προσοχή,3276,544
φυγετώ,3276,545
ρούχα,3275,546
λευκός,3274,547
σημείο,3271,548
σκληρός,3260,549
φοβερός,3246,550
παίθω,3245,551
αναλαμβάνω,3229,552
θύμα,3224,553
φως,3222,554
προκαλώ,3220,555
διαφορετικός,3209,556
αγώνας,3197,557
αναρωτιέμαι,3192,558
μέσος,3175,559
γραμμή,3165,560
υόρκη,3161,561
μπάτσος,3156,562
γίνω,3154,563
αριθμός,3152,564
κοιτάσσω,3146,565
άρα,3130,566
έρευνα,3124,567
φαντάζω,3119,568
αποστολή,3110,569
ζώο,3107,570
πλευρά,3102,571
μπορών,3101,572
στρατιώτης,3095,573
επίθεση,3082,574
παράξενος,3082,575
παντού,3078,576
χώρος,3071,577
ημέρα,3065,578
κόνω,3054,579
κέντρο,3053,580
ολόκληρος,3051,581
υπέροχα,3048,582
βάλω,3040,583
άσχημος,3035,584
επάνω,3033,585
μέλλον,3030,586
φωνή,3030,587
νόμος,3021,588
πουθενά,3017,589
επικίνδυνος,3014,590
σφαίρα,2996,591
τηλεόραση,2993,592
γεννώ,2992,593
κόκκινος,2988,594
μίκω,2977,595
σοβαρός,2973,596
αρχηγός,2971,597
μέτρο,2963,598
διαλέγω,2938,599
υπηρεσία,2932,600
κράτα,2924,601
φτιάχνω,2882,602
κανονίζω,2877,603
ειδικός,2873,604
μάχη,2873,605
ξενοδοχείο,2873,606
κίνηση,2871,607
στόχος,2868,608
μακάρι,2850,609
τμήμα,2827,610
φταίνω,2819,611
καλώς,2815,612
μάνας,2815,613
απόλυτα,2812,614
κόβω,2811,615
ψυχή,2809,616
λατρεύω,2808,617
σιγά,2806,618
ναρκωτικός,2798,619
αστυνομικός,2792,620
πελάτης,2790,621
μάθημα,2783,622
μαλλιά,2774,623
άρρωστος,2768,624
χάλια,2765,625
πραγματικός,2762,626
ατύχημα,2757,627
στόμα,2755,628
σκυλί,2753,629
προσφέρω,2738,630
κανόνας,2733,631
δικαίωμα,2732,632
γλύκος,2725,633
θαυμάσιος,2718,634
αδερφός,2700,635
ύπνος,2700,636
γνώμη,2699,637
απίστευτος,2685,638
δώρος,2678,639
εν,2676,640
γεγονός,2672,641
κλέπω,2658,642
νικώ,2647,643
διαταγή,2646,644
γλυκό,2641,645
αδύνατος,2639,646
αδελφός,2635,647
σήμα,2624,648
κάπως,2619,649
τραγούδι,2619,650
δημιουργώ,2614,651
καθώς,2613,652
έγκλημα,2609,653
ελπίδα,2608,654
πόση,2602,655
πηδώ,2596,656
άκων,2595,657
κομμάτι,2586,658
οτιδήποτε,2577,659
αποδεικνύω,2570,660
γιαίρω,2561,661
ξεχνώ,2559,662
ενδιαφέρον,2558,663
ανθρώπινος,2555,664
πόνος,2551,665
εντελώς,2546,666
τρώω,2546,667
άκρη,2542,668
επιτέλους,2542,669
χρυσός,2542,670
γνώρχω,2541,671
αδελφή,2540,672
ψηλά,2533,673
προστατεύω,2530,674
οποιοσδήποτε,2518,675
αμερική,2512,676
αναφορά,2511,677
καταπληκτικός,2511,678
ήσυχος,2508,679
διάβολος,2500,680
στέκω,2499,681
σκέψη,2494,682
πρόγραμμα,2491,683
ψάνω,2479,684
αντιμετωπίζω,2477,685
χιλιάδα,2477,686
κλειδί,2471,687
κατηγορώ,2466,688
σπάω,2466,689
ξέχω,2459,690
επιχείρηση,2453,691
συνήθως,2450,692
κουνώ,2450,693
πεθάνω,2446,694
απόφαση,2443,695
εμφανίζω,2442,696
μαγαζί,2436,697
πραγματικότητα,2430,698
βόμβα,2427,699
πολεμώ,2426,700
επιτίθεμαι,2424,701
σάρα,2422,702
θείος,2417,703
τραβώ,2413,704
προτείνω,2411,705
βάση,2410,706
απόδειξη,2409,707
ήλιος,2408,708
δεξιά,2407,709
λογικός,2406,710
μυρίζω,2403,711
πλανήτης,2403,712
χρωστώ,2403,713
γνωστός,2402,714
σημάδι,2399,715
χάρηκα,2397,716
θέχω,2395,717
συλλαμβάνω,2392,718
αγαπαίνω,2390,719
δείπνο,2384,720
πλέον,2380,721
σήκω,2380,722
τράπεζα,2370,723
μίνω,2366,724
επαφή,2356,725
κάθαρμα,2353,726
σκύπτω,2341,727
θάλασσα,2339,728
πουλί,2337,729
τοίχος,2335,730
έμαι,2327,731
ψηλός,2324,732
χρονός,2320,733
αγαπημένος,2315,734
ησυχία,2314,735
πλούσιος,2313,736
κίνδυνος,2308,737
κτίριο,2295,738
συχνά,2294,739
ανόητος,2294,740
παρέας,2291,741
χριστούγεννα,2290,742
πας,2288,743
σκοπός,2287,744
χωρίζω,2281,745
δεσποινή,2280,746
συνηθίζω,2279,747
μέλος,2278,748
σκηνή,2269,749
συγχαρητήρια,2264,750
πάντως,2263,751
πιθανώς,2259,752
σκεφτώ,2257,753
φαμβάνω,2252,754
λίστα,2251,755
προφανώς,2250,756
νούμερος,2249,757
παραπάνω,2248,758
πονώ,2243,759
αναγνωρίζω,2242,760
δέντρο,2242,761
συνάντηση,2241,762
εποχή,2240,763
εφημερίδα,2238,764
δολοφόνος,2233,765
μεταφέρω,2229,766
μοναδικός,2229,767
μπάνιο,2229,768
κρίμα,2228,769
μαζεύω,2226,770
αριστερά,2225,771
πνεύμα,2224,772
πίνω,2219,773
σκεφτόμαι,2218,774
παπούτσι,2214,775
υπεύθυνος,2206,776
θάνω,2202,777
ξαφνικά,2198,778
καθένας,2190,779
στάσος,2188,780
μπαρ,2185,781
ανακαλύπτω,2183,782
βασικά,2177,783
εκκλησία,2171,784
καλύπτω,2170,785
ματιά,2170,786
κινώ,2169,787
εναντίον,2164,788
φορτηγός,2163,789
αρνιέμαι,2159,790
θυμώνω,2157,791
πόσος,2157,792
σκάνω,2156,793
όνειρο,2153,794
τεράστιος,2153,795
τάξη,2152,796
ήρω,2152,797
παίχνω,2151,798
ασθενής,2145,799
αφορώ,2143,800
τραπέζι,2139,801
αγαπάω,2138,802
εκτιμώ,2134,803
ακίνητος,2134,804
ανοιχτός,2129,805
έτος,2127,806
εμπιστεύω,2126,807
παρελθόν,2123,808
ανάμεσα,2122,809
πυρ,2120,810
αποκλείω,2117,811
περπατώ,2114,812
εχθρός,2108,813
πιθανότητα,2107,814
καθαρίζω,2105,815
σταθμός,2102,816
κάμερα,2097,817
υπό,2096,818
γελώ,2091,819
έκπληξη,2090,820
σχετικά,2088,821
γλώσσα,2081,822
λειτουργώ,2081,823
τρομερός,2075,824
χαρούμενος,2074,825
προσωπικό,2061,826
λογαριασμός,2056,827
πτήση,2055,828
δυνατά,2049,829
πρώην,2048,830
δευτερόλεπτο,2044,831
δικαστήριο,2039,832
μαλάκα,2037,833
δικηγόρος,2035,834
μοίρα,2023,835
φόβος,2022,836
καλισπέρω,2016,837
πάρτυ,2015,838
εταιρεία,2012,839
μίλι,2005,840
κυβέρνηση,2000,841
ορκίζομαι,1997,842
δίνεις,1992,843
διαφορά,1987,844
νησί,1985,845
αποτέλεσμα,1981,846
κόλαση,1979,847
αλλαγή,1976,848
είτε,1971,849
παθαίνω,1970,850
μις,1969,851
έργο,1964,852
νόημα,1964,853
ηλικία,1958,854
υπογράφω,1954,855
εταιρία,1951,856
ειλικρινά,1948,857
υποτίθεμαι,1948,858
μπάλα,1946,859
καθηγητής,1941,860
παραδίνω,1940,861
ξεπερνώ,1934,862
βόλ,1934,863
γιαγιό,1928,864
λιγάκι,1927,865
καταλήγω,1925,866
κοιμάμαι,1925,867
τρένο,1923,868
χορό,1923,869
ξαναδίνω,1922,870
απόγευμα,1917,871
μονάδα,1911,872
μετρώ,1910,873
καινούριος,1909,874
χαλαρώνω,1909,875
εύχομαι,1908,876
θέγω,1908,877
βιβλία,1907,878
καινούργιος,1905,879
αρκώ,1903,880
συζήτηση,1899,881
παράθυρο,1897,882
ευγενικός,1896,883
δυστυχώς,1893,884
κυνηγώ,1889,885
ξένος,1885,886
εύκολα,1884,887
παραμένω,1883,888
χαλώ,1883,889
ασχολούμαι,1879,890
θυμώ,1878,891
ψάρι,1877,892
λαός,1870,893
περήφανος,1866,894
γύριση,1864,895
ενέργεια,1861,896
λαιμός,1860,897
πρωινός,1860,898
φαντάζομαι,1859,899
ενημερώνω,1851,900
κρασί,1851,901
θυμίζω,1850,902
βλακεία,1841,903
απόδοση,1837,904
ουρανός,1835,905
ζεστός,1835,906
παρουσιάζω,1832,907
οδός,1831,908
άλογος,1831,909
φάντασμα,1831,910
χαρτίά,1831,911
γκόμενος,1829,912
ευτυχίζω,1825,913
ταιριάζω,1824,914
κρύβω,1823,915
λεωφορείο,1821,916
τσάντα,1817,917
ίχνος,1816,918
σερίφη,1813,919
αστειεύω,1810,920
χαζός,1807,921
χαίνομαι,1805,922
μέσο,1804,923
σκοπεύω,1803,924
αποκτώ,1802,925
λύση,1802,926
αντί,1801,927
εικόνα,1792,928
άφω,1791,929
βασίλισσα,1790,930
κόλπο,1790,931
αλλού,1787,932
στρατό,1786,933
γέρος,1785,934
ξυπνώ,1777,935
διακοπή,1770,936
σύζυγος,1766,937
σκύλος,1766,938
κατάλληλος,1763,939
γέφυρα,1758,940
προηγούμενος,1752,941
εργασία,1751,942
τρίζω,1744,943
βήμα,1739,944
μύτος,1739,945
σκύλα,1739,946
ειδικά,1736,947
ονομάζω,1736,948
σύμφωνα,1735,949
ύποπτος,1735,950
διευθυντής,1734,951
εξαιτίας,1731,952
καθαρός,1730,953
πράγματι,1729,954
ταξιδεύω,1729,955
κουτί,1722,956
τηλεφώνημα,1721,957
κλειδιός,1716,958
εξέταση,1715,959
χορεύω,1712,960
οδηγός,1710,961
αποκαλώ,1708,962
γεμίζω,1708,963
πιστέψω,1708,964
λουλούδι,1705,965
παρίσι,1703,966
ιατρικός,1701,967
βουνό,1698,968
ζώνη,1694,969
εξαρτώ,1693,970
κράτηση,1686,971
στολή,1685,972
εντολή,1681,973
έρωρα,1680,974
μαχαίρι,1680,975
μπλε,1679,976
παρατώ,1677,977
διαμέρισμα,1676,978
τρίτη,1676,979
αντέχω,1675,980
θαύμα,1673,981
τόπος,1672,982
ταξί,1667,983
βγίσκω,1666,984
πανέμορφος,1662,985
στρατηγός,1661,986
ευτυχώς,1660,987
χωριό,1658,988
νεαρός,1652,989
βοηθός,1650,990
ελευθερία,1650,991
ζήνω,1650,992
διώχνω,1648,993
ξεφύγω,1646,994
θεγός,1640,995
μεγαλαίνω,1640,996
κάρτα,1638,997
επίπεδο,1636,998
κοινό,1632,999
τουαλέτα,1632,1000
μίλομαι,1631,1001
όντως,1630,1002
στρατός,1626,1003
κιόλας,1622,1004
κούκλα,1622,1005
λοχία,1622,1006
αδερφό,1620,1007
γυρεύω,1620,1008
αναγκάζω,1618,1009
πλάτη,1615,1010
φάρμακο,1614,1011
εντοπίζω,1612,1012
ντετέκτιβ,1611,1013
άγιος,1606,1014
πατώ,1596,1015
φυσικός,1595,1016
αγαπητός,1593,1017
τρελώ,1591,1018
ειρήνη,1590,1019
καθίκι,1588,1020
στοίχημα,1588,1021
τρίτος,1587,1022
φανταστικός,1585,1023
κωδικός,1581,1024
συμβούλιο,1581,1025
τέρας,1577,1026
πράξη,1575,1027
διανομή,1573,1028
εμπιστοσύνη,1572,1029
δάσος,1571,1030
χρώμα,1571,1031
αμερικάνικος,1567,1032
κοριτσάκι,1567,1033
ταχύτητα,1564,1034
πείθω,1562,1035
μισώ,1562,1036
δολοφονώ,1561,1037
δόξα,1561,1038
διαφορετικά,1560,1039
γάτα,1553,1040
διοικητής,1547,1041
μάρτυρας,1546,1042
φώτα,1546,1043
βαθμός,1545,1044
ζησώ,1545,1045
φιλώ,1544,1046
ξεχάνω,1541,1047
κρύο,1536,1048
διάφορος,1534,1049
πληγώνω,1534,1050
εισιτήριο,1533,1051
συνεργάτης,1529,1052
λύνω,1528,1053
πλάσμα,1525,1054
φύση,1522,1055
άνετος,1522,1056
μπύρα,1522,1057
τσάι,1521,1058
πλήρης,1516,1059
σχεδιάζω,1515,1060
ιησός,1515,1061
πίεση,1514,1062
αιώνας,1512,1063
πατρίδα,1509,1064
φάκελος,1509,1065
κλειστός,1505,1066
φήμη,1503,1067
ειδοποιώ,1502,1068
δικέ,1493,1069
χάρτης,1492,1070
σεβασμός,1489,1071
γάμησος,1489,1072
έδαφος,1486,1073
απαγορεύω,1485,1074
πάτωμα,1484,1075
βαθιά,1483,1076
όποτε,1483,1077
διαδικασία,1479,1078
ευθύνη,1479,1079
εκπληκτικός,1478,1080
πίστης,1478,1081
ζωέ,1476,1082
διπλός,1473,1083
κουζίνα,1473,1084
πρόταση,1473,1085
στείλω,1472,1086
κοστίζω,1468,1087
πολιτική,1468,1088
ήχος,1468,1089
αγγλικός,1467,1090
πύλη,1467,1091
εγκαταλείπω,1466,1092
υπολογιστής,1466,1093
συμπεριφορά,1464,1094
προειδοποιώ,1463,1095
τέρμα,1462,1096
εφιστρέφω,1462,1097
ρόλος,1461,1098
προσωπικά,1460,1099
πλήρωνω,1460,1100
πολίτης,1456,1101
αγαπάλλω,1454,1102
διάλογα,1453,1103
χάρι,1453,1104
αγάπω,1447,1105
διασκεδάζω,1447,1106
φηγώ,1446,1107
αεροδρόμιο,1443,1108
δημόσιος,1443,1109
κομμάτιο,1443,1110
ειλικρινής,1441,1111
ιδιαίτερα,1441,1112
αστέρι,1441,1113
τραγουδώ,1440,1114
προλαβαίνω,1439,1115
υπότιτλο,1439,1116
καπέλο,1438,1117
κατηγορία,1437,1118
μεγαλώ,1437,1119
απαραίτητος,1436,1120
μαλάκας,1436,1121
εθνικός,1433,1122
γωνία,1432,1123
ξύπνα,1432,1124
αίσθηση,1431,1125
έγκυος,1431,1126
κλέβω,1431,1127
μνήμη,1426,1128
ξαναδώ,1425,1129
δολοφόνο,1424,1130
απολύω,1419,1131
μαίρη,1416,1132
τρύπος,1415,1133
αξία,1414,1134
απαίσιος,1412,1135
ήσυχο,1412,1136
βάρκα,1411,1137
καταστροφή,1408,1138
όρος,1406,1139
κρίση,1405,1140
ρώμη,1405,1141
παιχνίδιο,1405,1142
παρίλιδω,1402,1143
επαναλαμβάνω,1400,1144
υποφέρω,1397,1145
πορεία,1396,1146
αποτυγχάνω,1394,1147
εμπειρία,1394,1148
άφηνω,1394,1149
επί,1393,1150
κεντρικός,1393,1151
λεπτομέρεια,1393,1152
προσφορά,1391,1153
διαλύω,1386,1154
άγνωστος,1385,1155
πράμα,1385,1156
εξήγηση,1382,1157
ρολός,1382,1158
σόος,1378,1159
σκληρά,1375,1160
επιθυμώ,1373,1161
δικιός,1373,1162
χαμηλός,1372,1163
γεύμα,1368,1164
ρίγαίνω,1367,1165
πάγος,1363,1166
προσπάθεια,1363,1167
σκοτεινός,1362,1168
μοιράζω,1361,1169
αίθουσα,1360,1170
αθώος,1359,1171
στρατιωτικός,1359,1172
χανένω,1357,1173
ασφαλώς,1348,1174
είσοδος,1348,1175
βρίζω,1347,1176
διασκέδαση,1345,1177
εργαστήριο,1343,1178
αξιωματικός,1341,1179
βραδί,1337,1180
πάτερ,1337,1181
ησάνω,1336,1182
κουνήσου,1336,1183
τρώγω,1335,1184
αποφεύγω,1334,1185
ξεχώ,1334,1186
ήρεμα,1332,1187
δικαστής,1330,1188
απαιτώ,1328,1189
πολιτεία,1328,1190
γυαλί,1326,1191
δόν,1326,1192
ένοχος,1325,1193
κήπος,1324,1194
επιλέγω,1322,1195
διάστημα,1316,1196
διεύθυνση,1311,1197
εις,1310,1198
βάρος,1309,1199
άγγελος,1308,1200
γελοίος,1307,1201
κολλώ,1305,1202
πηγή,1304,1203
αγνοώ,1302,1204
νεαρό,1302,1205
νίκη,1296,1206
όριο,1296,1207
κλήση,1296,1208
προχώρα,1295,1209
ρίχω,1293,1210
επιτυχία,1292,1211
ηλίθια,1290,1212
διακόπτω,1285,1213
σκοτάδι,1284,1214
καθήκον,1282,1215
ποτάμι,1282,1216
δίκαιο,1280,1217
χτίζω,1279,1218
εστιατόριο,1276,1219
μαγικός,1275,1220
γειτονιά,1273,1221
παγκόσμιος,1272,1222
χτύπημα,1272,1223
