lemma,upos
νερό,NOUN
νευρικός,ADJ
νησάκι,NOUN
νησί,NOUN
νοήμα,NOUN
νοιάζω,VERB
νομίζω,VERB
νομικά,ADV
νοσοκομείο,NOUN
ξέχω,VERB
ξανά,ADV
ξαναδίνω,VERB
ξανακόσσω,VERB
ξαναπροσπώνω,VERB
ξαφνικά,ADV
ξεχάσμενος,ADJ
ξεχνώ,VERB
ξημερώνω,VERB
ξυπνω,VERB
οδήγηση,NOUN
οθόνη,NOUN
οικογενειακός,ADJ
ομάδα,NOUN
ομορφιά,NOUN
ονομάζω,VERB
οπότε,CCONJ
ορίζω,VERB
οργανισμός,NOUN
οτιδήποτε,PRON
ουζάκι,NOUN
ούτε,CCONJ
πάλι,ADV
πάντα,ADV
πάνω,ADV
πάρα,ADV
πάρκα,NOUN
πάρκο,NOUN
πένθιμος,ADJ
πέρα,ADV
πέτρα,NOUN
πέτρο,NOUN
πίνω,VERB
πίσω,ADV
παίθω,VERB
παίρνω,VERB
πακέτα,NOUN
πακέτο,NOUN
πακατάρω,VERB
παλιός,ADV
πανεύκολος,ADJ
παντρέπω,VERB
παρά,ADP
παρέας,NOUN
παραγγέλλω,VERB
παραγγείλη,NOUN
παραγγελία,NOUN
παραδείγμα,NOUN
παραδοσιακά,ADV
παρακαλώ,VERB
παραπάνω,ADV
παρόμοιος,ADV
πατέρα,NOUN
παύση,NOUN
πεινασμένος,ADJ
πελάτης,NOUN
πεντάκόσιο,NOUN
περίεργος,ADJ
περίπου,ADV
περασμένος,ADJ
περιβάλλον,NOUN
περιγράφω,VERB
περιγραφή,NOUN
περνώ,VERB
περπάτημα,NOUN
πηραίνω,VERB
πια,ADV
πιθανώς,ADV
πιλάτης,NOUN
πιο,ADV
πισίνα,NOUN
πλάνας,NOUN
πλάνος,NOUN
πλάτος,NOUN
πλένω,VERB
πληθυντικό,NOUN
πληκτρολόγιο,NOUN
πληρώνω,VERB
πολυκατάστημα,NOUN
πολύ,ADV
πονίκαμαι,VERB
ποτάμιο,NOUN
ποτήριο,NOUN
ποτίζω,VERB
ποτό,NOUN
που,ADV
πουθενά,ADV
πουκάμισο,NOUN
πού,ADV
πράγμα,NOUN
πράξη,NOUN
πραγματικά,ADV
πριν,ADV
προέρχομαι,VERB
προετοιμάζομαι,VERB
προετοιμασμένος,VERB
προς,ADP
προσέχω,VERB
προσεκτικά,ADV
προσθέτω,VERB
προσωπικά,ADV
προσωπικός,ADJ
προτού,ADV
προφέρω,VERB
προϊόν,NOUN
πρωί,NOUN
πρωινός,ADJ
πρόβλημα,NOUN
πρόσωπο,NOUN
πρόφερη,NOUN
πρώτα,ADJ
πτυχίο,NOUN
πως,SCONJ
πόζας,NOUN
πύργο,NOUN
ραντέβος,NOUN
ρομαντικός,ADJ
ρχεται,VERB
ρωσία,PROPN
ρόδα,NOUN
ρόλος,NOUN
σέγω,VERB
σέρβιρη,NOUN
σίγουρα,ADV
σίγουρος,ADJ
σίγουρος,NOUN
σαν,ADV
σαντορίνη,NOUN
σεζόν,NOUN
σειρά,NOUN
σεις,PRON
σημαίνω,VERB
σημαντικά,ADV
σημασία,NOUN
σημειώνω,VERB
σημερινός,ADJ
σιγά,ADV
σιγουρεύτω,VERB
σκέψη,NOUN
σκωτία,PROPN
σκωτσέζα,NOUN
σκόπελος,PROPN
σοβαρά,ADV
σοβαρός,ADJ
σου,PRON
σούβλα,NOUN
σούσι,NOUN
σπένω,VERB
σπιτάκιο,NOUN
σπουδάζω,VERB
σπουδή,NOUN
στάση,NOUN
στέκιομαι,VERB
σταμάτω,VERB
στολή,NOUN
στος,ADJ
στου,ADP
στυλ,NOUN
συγκεκριμένα,ADV
συγκεκριμένος,ADJ
συλλογή,NOUN
συμβολικός,ADJ
συμφωνώ,VERB
συνάδελφος,NOUN
συνάνω,VERB
συνέντευξη,NOUN
συνήθεια,NOUN
συνήθως,ADV
συνηθίζω,VERB
σχέδιο,NOUN
σχέση,NOUN
σχετίζω,VERB
σχετικά,ADV
σχηματίζω,VERB
σχόλιο,NOUN
σωστά,ADV
σόδος,NOUN
σύγχρονος,ADJ
σύννεφος,NOUN
σύντομα,ADV
σύστημα,NOUN
τέλοσπος,ADJ
τέταρτος,ADJ
τέχνος,NOUN
τίποτε,PRON
τίτλος,NOUN
ταλάντουχος,NOUN
ταξιδιώτρια,NOUN
ταχυδρομείο,NOUN
ταχύτητα,NOUN
τελειώνω,VERB
τελικά,ADV
τελώ,VERB
τετρακόσια,ADV
τεχνικός,ADJ
τζελ,NOUN
τζιν,NOUN
τηλεφώνημα,NOUN
τηλεόραση,NOUN
τι,PRON
τιμή,NOUN
τοπικά,ADV
τουλάχιστο,ADV
τουρίστας,NOUN
τρένος,NOUN
τραγουδίστρια,NOUN
τραπέζι,NOUN
τραπεζάκι,NOUN
τραπεζιό,NOUN
τριακόσια,ADV
τρομερός,ADJ
τρώω,VERB
τσάντα,NOUN
τσίπουρο,NOUN
τόσο,ADV
τότε,ADV
υγεία,NOUN
υγιής,ADJ
υγρασία,NOUN
υλικό,NOUN
υπέροχος,ADJ
υπέρχος,ADJ
υπογραφή,NOUN
υποθέτω,VERB
υποκατηγορία,NOUN
υπότιτλος,NOUN
φάνω,VERB
φέγω,VERB
φακή,NOUN
φανταζόμει,VERB
φανταστικός,ADJ
φαρμακοποιός,NOUN
φευύγομαι,VERB
φιλάκω,VERB
φοβερός,ADJ
φοβοίμαι,VERB
φοβώ,VERB
φοιτήτριος,ADJ
φορώ,VERB
φούρνο,NOUN
φράση,NOUN
φρέσκος,NOUN
φρειδερίκος,NOUN
φροντίζω,VERB
φτιάχνω,VERB
φυσικά,ADV
φυσικός,ADJ
φυσιολογικός,ADJ
φωνή,NOUN
φωτιά,NOUN
φωτισμός,NOUN
φωτογραφία,NOUN
φόρεση,NOUN
φύλλος,NOUN
χάρτης,NOUN
χαίρω,VERB
χαλί,NOUN
χαρά,NOUN
χαρακτηρίζω,VERB
χαριτώνω,VERB
χειμώνας,NOUN
χημικός,ADJ
χθες,ADV
χιλιάδα,NOUN
χοιρινό,NOUN
χοιρινός,NOUN
χορό,NOUN
χρήμα,NOUN
χριστώ,VERB
χρονόμετρο,NOUN
χρωματιστής,NOUN
χρόνος,NOUN
χτυπάνω,VERB
χωριάτικος,ADJ
χωριό,NOUN
χόμπι,NOUN
ψάνω,VERB
ψάχω,VERB
ψηλώνω,VERB
ψυχή,NOUN
ως,ADV
ό,ADP
όμηρος,NOUN
όμως,CCONJ
όποτε,ADV
όπως,ADV
όροφος,NOUN
όση,ADV
όσο,ADV
όσος,PRON
όταν,SCONJ
ότι,SCONJ
ώστε,SCONJ
καλός,ADJ
