surface,lemma,upos
άμυνας,άμυνα,NOUN
άνδρα,άντρας,NOUN
άνδρας,άντρας,NOUN
άνδρες,άντρας,NOUN
άνεργο,άνεργος,ADJ
άνεργοι,άνεργος,NOUN
άνευ,άνευ,ADP
άνθρακα,άνθρακας,NOUN
άνθρωπο,άνθρωπος,NOUN
άνθρωποι,άνθρωπος,NOUN
άνθρωπος,άνθρωπος,NOUN
άνισο,άνισος,ADJ
άνοδο,άνοδος,NOUN
άνοιγμά,άνοιγμα,NOUN
άνοιγμα,άνοιγμα,NOUN
άνοιξαν,ανοίγω,VERB
άνοιξε,ανοίγω,VERB
άντρες,άντρας,NOUN
άνω,άνω,ADV
άξια,άξιος,ADJ
άξιου,άξιος,ADJ
άξονα,άξονας,NOUN
άξονας,άξονας,NOUN
άποικοι,άποικος,NOUN
άπορων,άπορος,ADJ
άποψή,άποψη,NOUN
άποψής,άποψη,NOUN
άποψη,άποψη,NOUN
άποψης,άποψη,NOUN
άπραγοι,άπραγος,ADJ
άραγε,άραγε,ADV
άργησε,αργώ,VERB
άρεσε,αρέσω,VERB
άρθρα,άρθρο,NOUN
άρθρο,άρθρο,NOUN
άρθρου,άρθρο,NOUN
άριστες,άριστος,ADJ
άριστων,άριστος,ADJ
άρνηση,άρνηση,NOUN
άρνησης,άρνηση,NOUN
άρπαξαν,αρπάζω,VERB
άρρωστη,άρρωστος,ADJ
άρση,άρση,NOUN
άρσης,άρση,NOUN
άρχισαν,αρχίζω,VERB
άρχισε,αρχίζω,VERB
άσαντ,άσαντ,PROPN
άσθμα,άσθμα,NOUN
άσκησαν,ασκώ,VERB
άσκησε,ασκώ,VERB
άσκηση,άσκηση,NOUN
άσκησης,άσκηση,NOUN
άσκοπο,άσκοπος,ADJ
άστεγοι,άστεγος,ADJ
άστοχη,άστοχος,ADJ
άσυλο,άσυλο,NOUN
άσχημα,άσχημα,ADV
άσχημη,άσχημος,ADJ
άτομα,άτομο,NOUN
άτομο,άτομο,NOUN
άτυχο,άτυχος,ADJ
άφησε,αφήνω,VERB
έβγαλαν,βγάζω,VERB
έβδομο,έβδομος,ADJ
έβλαπτε,βλάπτω,VERB
έβρο,έβρος,PROPN
έβρου,έβρος,PROPN
έγγραφα,έγγραφο,NOUN
έγγραφο,έγγραφο,NOUN
έγγραφου,έγγραφο,NOUN
έγιναν,γίνομαι,VERB
έγινε,γίνομαι,VERB
έγκαιρης,έγκαιρος,ADJ
έγκειται,έγκειται,VERB
έγκριση,έγκριση,NOUN
έγραφε,γράφω,VERB
έδαφος,έδαφος,NOUN
έδειξαν,δείχνω,VERB
έδειξε,δείχνω,VERB
έδειχνε,δείχνω,VERB
έδιναν,δίνω,VERB
έδιωξε,διώχνω,VERB
έδρα,έδρα,NOUN
έδρασε,δρω,VERB
έδωσα,δίνω,VERB
έδωσαν,δίνω,VERB
έδωσε,δίνω,VERB
έθεσε,θέτω,VERB
έθιμο,έθιμο,NOUN
έθιξε,θίγω,VERB
έθνη,έθνος,NOUN
έθνος,έθνος,NOUN
έκαναν,κάνω,VERB
έκανε,κάνω,VERB
έκβαση,έκβαση,NOUN
έκδοσή,έκδοση,NOUN
έκδοση,έκδοση,NOUN
έκδοσης,έκδοση,NOUN
έκθεσή,έκθεση,NOUN
έκθεσής,έκθεση,NOUN
έκθεση,έκθεση,NOUN
έκθεσης,έκθεση,NOUN
έκκληση,έκκληση,NOUN
έκλεισαν,κλείνω,VERB
έκοψαν,κόβω,VERB
έκπληξη,έκπληξη,NOUN
έκπτωτο,έκπτωτος,ADJ
έκρηξη,έκρηξη,NOUN
έκρηξης,έκρηξη,NOUN
έκρινε,κρίνω,VERB
έκρυβε,κρύβω,VERB
έκτακτης,έκτακτος,ADJ
έκτασή,έκταση,NOUN
έκταση,έκταση,NOUN
έκτο,έκτος,ADJ
έκτου,έκτος,ADJ
έκτρωση,έκτρωση,NOUN
έκφραση,έκφραση,NOUN
έκφρασης,έκφραση,NOUN
έλαβα,λαμβάνω,VERB
έλαβε,λαμβάνω,VERB
έλατα,έλατο,NOUN
έλεγα,λέγω,VERB
έλεγχο,έλεγχος,NOUN
έλεγχοι,έλεγχος,NOUN
έλεγχος,έλεγχος,NOUN
έλεγχό,έλεγχος,NOUN
έλευση,έλευση,NOUN
έληξε,λήγω,VERB
έλλειμμα,έλλειμμα,NOUN
έλλειψη,έλλειψη,NOUN
έλλειψης,έλλειψη,NOUN
έλληνες,έλληνας,ADJ
έλληνες,έλληνας,PROPN
έλξης,έλξη,NOUN
έμβλημα,έμβλημα,NOUN
έμειναν,μένω,VERB
έμεινε,μένω,VERB
έμεναν,μένω,VERB
έμμεσες,έμμεσος,ADJ
έμποροι,έμπορος,NOUN
έμπορος,έμπορος,NOUN
έμφαση,έμφαση,NOUN
ένα,ένας,ADJ
ένα,ένας,DET
ένα,ένας,PRON
έναν,ένας,DET
έναντι,έναντι,ADP
έναρξή,έναρξη,NOUN
έναρξη,έναρξη,NOUN
έναρξης,έναρξη,NOUN
ένας,ένας,DET
ένας,ένας,PRON
ένατο,ένατος,ADJ
έναυσμα,έναυσμα,NOUN
ένδειας,ένδεια,NOUN
ένδειξη,ένδειξη,NOUN
ένδειξης,ένδειξη,NOUN
ένθερμους,ένθερμος,ADJ
ένιωθε,νιώθω,VERB
έννοια,έννοια,NOUN
ένοπλα,ένοπλος,ADJ
ένοπλες,ένοπλος,ADJ
ένοπλοι,ένοπλος,ADJ
ένορκοι,ένορκος,ADJ
ένοχο,ένοχος,ADJ
ένοχοι,ένοχος,ADJ
ένταλμα,ένταλμα,NOUN
ένταξής,ένταξη,NOUN
ένταξη,ένταξη,NOUN
έντασης,ένταση,NOUN
έντονα,έντονα,ADV
έντονες,έντονος,ADJ
έντονη,έντονος,ADJ
έντονης,έντονος,ADJ
έντονος,έντονος,ADJ
έντουαρντ,έντουαρντ,PROPN
ένωνε,ενώνω,VERB
ένωση,ένωση,NOUN
ένωσης,ένωση,NOUN
έξαρση,έξαρση,NOUN
έξοδα,έξοδο,NOUN
έξοδο,έξοδος,NOUN
έξοδος,έξοδος,NOUN
έξυπνες,έξυπνος,ADJ
έξω,έξω,ADV
έπαθαν,παθαίνω,VERB
έπαιξε,παίζω,VERB
έπαιρνε,παίρνω,VERB
έπαρση,έπαρση,NOUN
έπαψε,παύω,VERB
έπεισαν,πείθω,VERB
έπειτα,έπειτα,ADV
έπεσε,πέφτω,VERB
έπλεκε,πλέκω,VERB
έπληξαν,πλήττω,VERB
έπληξε,πλήττω,VERB
έπραξαν,πράττω,VERB
έπραξε,πράττω,VERB
έπρεπε,πρέπει,VERB
έργα,έργο,NOUN
έργο,έργο,NOUN
έργου,έργο,NOUN
έργων,έργο,NOUN
έρευνά,έρευνα,NOUN
έρευνα,έρευνα,NOUN
έρευνας,έρευνα,NOUN
έρευνες,έρευνα,NOUN
έρημο,έρημος,NOUN
έρθει,έρχομαι,VERB
έρθουμε,έρχομαι,VERB
έρθουν,έρχομαι,VERB
έριδες,έριδα,NOUN
έρικ,έρικ,PROPN
έριξα,ρίχνω,VERB
έρχεται,έρχομαι,VERB
έρχονται,έρχομαι,VERB
έσοδα,έσοδο,NOUN
έσοδο,έσοδο,NOUN
έσπευσε,σπεύδω,VERB
έστειλαν,στέλνω,VERB
έστειλε,στέλνω,VERB
έστησε,στήνω,VERB
έστω,έστω,ADV
έσω,έσω,ADV
έτη,έτος,NOUN
έτοιμα,έτοιμος,ADJ
έτοιμες,έτοιμος,ADJ
έτοιμη,έτοιμος,ADJ
έτοιμο,έτοιμος,ADJ
έτοιμοι,έτοιμος,ADJ
έτοιμος,έτοιμος,ADJ
έτος,έτος,NOUN
έτους,έτος,NOUN
έτρεξε,τρέχω,VERB
έτσι,έτσι,ADV
έφαγαν,τρώω,VERB
έφερε,φέρω,VERB
έφερνε,φέρω,VERB
έφεσή,έφεση,NOUN
έφθανε,φθάνω,VERB
έφθασαν,φτάνω,VERB
έφτασαν,φτάνω,VERB
έφτασε,φτάνω,VERB
έφτιαξαν,φτιάχνω,VERB
έφυγε,φεύγω,VERB
έχανε,χάνω,VERB
έχασαν,χάνω,VERB
έχει,έχω,AUX
έχει,έχω,VERB
έχετε,έχω,AUX
έχετε,έχω,VERB
έχοντας,έχω,AUX
έχοντας,έχω,VERB
έχουμε,έχω,AUX
έχουμε,έχω,VERB
έχουν,έχω,AUX
έχουν,έχω,VERB
έχω,έχω,AUX
έχω,έχω,VERB
έως,έως,ADP
έως,ώς,ADP
ή,ή,CCONJ
ήδη,ήδη,ADV
ήθελα,θέλω,VERB
ήθελαν,θέλω,VERB
ήθελε,θέλω,VERB
ήκμασε,ακμάζω,VERB
ήμασταν,είμαι,AUX
ήπειρο,ήπειρος,NOUN
ήπειρο,ήπειρος,PROPN
ήπιες,ήπιος,ADJ
ήρθαν,έρχομαι,VERB
ήρθε,έρχομαι,VERB
ήσαν,είμαι,AUX
ήταν,είμαι,AUX
ήτοι,ήτοι,ADV
ήττα,ήττα,NOUN
ίδια,ίδιος,ADJ
ίδιας,ίδιος,ADJ
ίδιες,ίδιος,ADJ
ίδιο,ίδιος,ADJ
ίδιοι,ίδιος,ADJ
ίδιος,ίδιος,ADJ
ίδιου,ίδιος,ADJ
ίδιους,ίδιος,ADJ
ίδρυσή,ίδρυση,NOUN
ίδρυσαν,ιδρύω,VERB
ίδρυσε,ιδρύω,VERB
ίδρυση,ίδρυση,NOUN
ίκος,ίκος,PROPN
ίσες,ίσος,ADJ
ίσης,ίσος,ADJ
ίσχυαν,ισχύω,VERB
ίσων,ίσος,ADJ
ίσως,ίσως,ADV
ίχνη,ίχνος,NOUN
α',α',ADJ
αέρα,αέρας,NOUN
αέριο,αέριο,NOUN
αέρος,αέρος,NOUN
αίγυπτο,αίγυπτος,PROPN
αίγυπτος,αίγυπτος,PROPN
αίθουσα,αίθουσα,NOUN
αίματος,αίμα,NOUN
αίρεται,αίρω,VERB
αίσιο,αίσιος,ADJ
αίτημα,αίτημα,NOUN
αίτηση,αίτηση,NOUN
αίτησης,αίτηση,NOUN
αίτια,αίτιο,NOUN
αβάνα,αβάνα,PROPN
αβάσιμους,αβάσιμος,ADJ
αβοήθητοι,αβοήθητος,ADJ
αγία,άγιος,ADJ
αγίας,άγιος,ADJ
αγίου,άγιος,ADJ
αγίου,άγιος,NOUN
αγίων,άγιος,PROPN
αγαθά,αγαθό,NOUN
αγαθών,αγαθό,NOUN
αγαπημένους,αγαπάω,ADJ
αγαπητοί,αγαπητός,ADJ
αγγεία,αγγείο,NOUN
αγγελιοφόρος,αγγελιοφόρος,NOUN
αγγλία,αγγλία,PROPN
αγγλικά,αγγλικός,ADJ
αγγλικούς,αγγλικός,ADJ
αγγλικών,αγγλικός,ADJ
αγιορείτες,αγιορείτης,ADJ
αγκυρα,άγκυρα,NOUN
αγνοήθηκαν,αγνοώ,VERB
αγνοήσουμε,αγνοώ,VERB
αγνοούμενοι,αγνοούμενος,ADJ
αγνοώντας,αγνοώ,VERB
αγνόησε,αγνοώ,VERB
αγορά,αγορά,NOUN
αγοράζονται,αγοράζω,VERB
αγοράς,αγορά,NOUN
αγοράσει,αγοράζω,VERB
αγοράσουμε,αγοράζω,VERB
αγορές,αγορά,NOUN
αγοραστή,αγοραστής,NOUN
αγορών,αγορά,NOUN
αγριελιά,αγριελιά,NOUN
αγρινίου,αγρίνιο,PROPN
αγριογούρουνα,αγριογούρουνο,NOUN
αγριοκάτσικο,αγριοκάτσικο,NOUN
αγριολούλουδα,αγριολούλουδο,NOUN
αγροτικής,αγροτικός,ADJ
αγωγή,αγωγή,NOUN
αγωγοί,αγωγός,NOUN
αγωνίστηκαν,αγωνίζομαι,VERB
αγωνιζόμαστε,αγωνίζομαι,VERB
αγωνιστή,αγωνιστής,NOUN
αγόρασαν,αγοράζω,VERB
αγόρευσης,αγόρευση,NOUN
αγόρια,αγόρι,NOUN
αγώνα,αγώνας,NOUN
αγώνας,αγώνας,NOUN
αγώνων,αγώνας,NOUN
αδέλφια,αδέρφι,NOUN
αδίκημα,αδίκημα,NOUN
αδίστακτος,αδίστακτος,ADJ
αδελφοί,αδελφός,NOUN
αδελφοποιήσεις,αδελφοποίηση,NOUN
αδελφό,αδελφός,NOUN
αδιάθετες,αδιάθετος,ADJ
αδιάλειπτα,αδιάλειπτα,ADV
αδιαμφισβήτητη,αδιαμφισβήτητος,ADJ
αδιανόητοι,αδιανόητος,ADJ
αδιευκρίνιστες,αδιευκρίνιστος,ADJ
αδικήματα,αδίκημα,NOUN
αδικαιολόγητη,αδικαιολόγητος,ADJ
αδικημάτων,αδίκημα,NOUN
αδράνειά,αδράνεια,NOUN
αδρανείς,αδρανής,ADJ
αδρανών,αδρανής,ADJ
αδυναμία,αδυναμία,NOUN
αδυνατούμε,αδυνατώ,VERB
αδόλφος,αδόλφος,PROPN
αδύνατη,αδύνατος,ADJ
αειφόρο,αειφόρο,ADJ
αειφόρος,αειφόρος,ADJ
αειφόρου,αειφόρος,ADJ
αερίου,αέριο,NOUN
αερίου,αέριος,ADJ
αεροδρομίου,αεροδρόμιο,NOUN
αεροδρόμιο,αεροδρόμιο,NOUN
αεροπλάνου,αεροπλάνο,NOUN
αεροπορία,αεροπορία,NOUN
αεροπορικές,αεροπορικός,ADJ
αεροπορικής,αεροπορικός,ADJ
αεροπορικώς,αεροπορικά,ADV
αεροσκάφη,αεροσκάφος,NOUN
αεροσκάφος,αεροσκάφος,NOUN
αεροσκάφους,αεροσκάφος,NOUN
αζώτου,άζωτο,NOUN
αθέμιτη,αθέμιτος,ADJ
αθήνα,αθήνα,PROPN
αθήνας,αθήνα,PROPN
αθετούντο,αθετώ,VERB
αθηνών,αθήνα,PROPN
αθωότητά,αθωότητα,NOUN
αθωότητας,αθωότητα,NOUN
αθώους,αθώος,ADJ
αιγίδα,αιγίδα,NOUN
αιγαίο,αιγαίο,PROPN
αιγαίου,αιγαίο,PROPN
αιγυπτιακά,αιγυπτιακός,ADJ
αιγυπτιακής,αιγυπτιακός,ADJ
αιγόγλαρο,αιγόγλαρος,NOUN
αιγύπτου,αίγυπτος,PROPN
αιδηψό,αιδηψός,PROPN
αικισίανη,αικισίανη,PROPN
αιμολυτικά,αιμολυτικός,ADJ
αιμοφόρα,αιμοφόρος,ADJ
αιρετούς,αιρετός,ADJ
αισθανόμαστε,αισθάνομαι,VERB
αισθητές,αισθητής,ADJ
αισιοδοξία,αισιοδοξία,NOUN
αισιοδοξίας,αισιοδοξία,NOUN
αισιόδοξος,αισιόδοξος,ADJ
αιτήματα,αίτημα,NOUN
αιτήσεις,αίτηση,NOUN
αιτήσεων,αίτηση,NOUN
αιτήσεως,αίτηση,NOUN
αιτία,αιτία,NOUN
αιτίας,αιτία,NOUN
αιτίες,αιτία,NOUN
αιτιολογημένη,αιτιολογώ,VERB
αιτιολογικές,αιτιολογικός,ADJ
αιτιολογικής,αιτιολογικός,ADJ
αιχμάλωτοι,αιχμάλωτος,ADJ
αιχμάλωτος,αιχμάλωτος,ADJ
αιχμής,αιχμή,NOUN
αιχμαλωτίστηκαν,αιχμαλωτίζω,VERB
αιώνα,αιώνας,NOUN
αιώνες,αιώνας,NOUN
αιώνων,αιώνας,NOUN
ακάλυπτος,ακάλυπτος,ADJ
ακίνο,ακίνο,PROPN
ακαδημία,ακαδημία,PROPN
ακαδημίας,ακαδημία,NOUN
ακατανόητη,ακατανόητος,ADJ
ακατοίκητα,ακατοίκητος,ADJ
ακατοίκητο,ακατοίκητος,ADJ
ακατόρθωτο,ακατόρθωτος,ADJ
ακεσαμναί,ακεσαμναί,PROPN
ακινησίας,ακινησία,NOUN
ακμή,ακμή,NOUN
ακολουθήθηκε,ακολουθώ,VERB
ακολουθήσει,ακολουθώ,VERB
ακολουθήσουμε,ακολουθώ,VERB
ακολουθήσουν,ακολουθώ,VERB
ακολουθεί,ακολουθώ,VERB
ακολουθηθεί,ακολουθώ,VERB
ακολουθούν,ακολουθώ,VERB
ακολουθούσαν,ακολουθώ,VERB
ακολουθώντας,ακολουθώ,VERB
ακολούθησαν,ακολουθώ,VERB
ακολούθησε,ακολουθώ,VERB
ακούγαμε,ακούω,VERB
ακούγεται,ακούω,VERB
ακούγονται,ακούω,VERB
ακούγοντας,ακούω,VERB
ακούσαμε,ακούω,VERB
ακούσουμε,ακούω,VERB
ακούστηκαν,ακούω,VERB
ακρίβεια,ακρίβεια,NOUN
ακραία,ακραίος,ADJ
ακραίες,ακραίος,ADJ
ακριβά,ακριβά,ADV
ακριβέστερα,ακριβής,ADJ
ακριβέστερου,ακριβής,ADJ
ακριβώς,ακριβώς,ADV
ακροαματική,ακροαματικός,ADJ
ακροβολισμένοι,ακροβολίζομαι,VERB
ακροβούνι,ακροβούνι,PROPN
ακρογωνιαίο,ακρογωνιαίος,ADJ
ακροπόλεις,ακρόπολη,NOUN
ακροπόλεων,ακρόπολη,NOUN
ακρωτήρι,ακρωτήρι,NOUN
ακρόαση,ακρόαση,NOUN
ακρόπολη,ακρόπολη,NOUN
ακρόπολης,ακρόπολη,NOUN
ακτές,ακτή,NOUN
ακτίνα,ακτίνα,NOUN
ακτιβιστές,ακτιβιστής,NOUN
ακτιβιστής,ακτιβιστής,NOUN
ακτινογραφία,ακτινογραφία,NOUN
ακτοπλοΐας,ακτοπλοΐα,NOUN
ακτοπλοϊκώς,ακτοπλοϊκώς,ADV
ακτών,ακτή,NOUN
ακυρωτικού,ακυρωτικός,ADJ
ακυρώνει,ακυρώνω,VERB
ακυρώσει,ακυρώνω,VERB
ακόλουθο,ακόλουθος,ADJ
ακόμα,ακόμα,ADV
ακόμη,ακόμα,ADV
ακύρωσαν,ακυρώνω,VERB
ακύρωσε,ακυρώνω,VERB
ακύρωση,ακύρωση,NOUN
αλέξανδρο,αλέξανδρος,PROPN
αλέξανδρος,αλέξανδρος,PROPN
αλέξανδρου,αλέξανδρος,PROPN
αλήθεια,αλήθεια,ADV
αλήθεια,αλήθεια,NOUN
αλίκης,αλίκη,PROPN
αλααντίν,αλααντίν,PROPN
αλαμπάμα,αλαμπάμα,PROPN
αλβανία,αλβανία,PROPN
αλβανίας,αλβανία,PROPN
αλβανοί,αλβανός,PROPN
αλγερία,αλγερία,PROPN
αλγερίας,αλγερία,PROPN
αλγερίου,αλγέρι,PROPN
αλγερινής,αλγερινός,ADJ
αλεξάντερ,αλεξάντερ,PROPN
αλεξίπτωτο,αλεξίπτωτο,NOUN
αλεξιπτωτιστών,αλεξιπτωτιστής,NOUN
αληθεύει,αληθεύω,VERB
αλλά,αλλά,CCONJ
αλλάξει,αλλάζω,VERB
αλλάξουν,αλλάζω,VERB
αλλαγές,αλλαγή,NOUN
αλλαγή,αλλαγή,NOUN
αλλαγών,αλλαγή,NOUN
αλλεπάλληλα,αλλεπάλληλος,ADJ
αλλες,άλλος,DET
αλληλεγγύη,αλληλεγγύη,NOUN
αλληλεγγύης,αλληλεγγύη,NOUN
αλληλεπίδραση,αλληλεπίδραση,NOUN
αλληλογραφίας,αλληλογραφία,NOUN
αλλιώς,αλλιώς,ADV
αλλο,άλλος,DET
αλλοδαποί,αλλοδαπός,ADJ
αλλοδαπών,αλλοδαπός,ADJ
αλλος,άλλος,DET
αλλού,αλλού,ADV
αλοννήσου,αλόννησος,PROPN
αλτσχάιμερ,αλτσχάιμερ,PROPN
αλυκή,αλυκή,PROPN
αλυσίδες,αλυσίδα,NOUN
αλφαβητισμού,αλφαβητισμός,NOUN
αλόννησο,αλόννησο,PROPN
αλόννησος,αλόννησος,PROPN
αλύτρωτη,αλύτρωτος,ADJ
αλώνια,αλώνι,NOUN
αμέσως,αμέσως,ADV
αμαξιών,αμάξι,NOUN
αμερική,αμερική,PROPN
αμερικής,αμερική,PROPN
αμερικανίδα,αμερικανίδα,PROPN
αμερικανικές,αμερικάνικος,ADJ
αμερικανική,αμερικάνικος,ADJ
αμερικανικής,αμερικάνικος,ADJ
αμερικανικού,αμερικάνικος,ADJ
αμερικανικό,αμερικάνικος,ADJ
αμερικανικός,αμερικάνικος,ADJ
αμερικανικών,αμερικάνικος,ADJ
αμερικανοί,αμερικανός,PROPN
αμερικανού,αμερικανός,PROPN
αμερικανό,αμερικανός,PROPN
αμερικανός,αμερικανός,ADJ
αμερικανός,αμερικανός,PROPN
αμερικανών,αμερικανός,PROPN
αμνήστευση,αμνήστευση,NOUN
αμνηστία,αμνηστία,PROPN
αμνηστίας,αμνηστία,NOUN
αμοιβαία,αμοιβαίος,ADJ
αμοιβαίας,αμοιβαίος,ADJ
αμοιβαίες,αμοιβαίος,ADJ
αμπάς,αμπάς,PROPN
αμπντελμαλέκ,αμπντελμαλέκ,PROPN
αμπντουραμάν,αμπντουραμάν,PROPN
αμπχαζίας,αμπχαζία,PROPN
αμυνθεί,αμύνομαι,VERB
αμυντικής,αμυντικός,ADJ
αμυρά,αμυράς,PROPN
αμφιθεατρικά,αμφιθεατρικά,ADV
αμφιθεατρική,αμφιθεατρικός,ADJ
αμφιλεγόμενα,αμφιλεγόμενος,ADJ
αμφιλεγόμενου,αμφιλεγόμενος,ADJ
αμφισβήτησης,αμφισβήτηση,NOUN
αμφισβητεί,αμφισβητώ,VERB
αμφισβητούμενη,αμφισβητούμενος,ADJ
αμφισβητούνται,αμφισβητώ,VERB
αμύνης,άμυνα,NOUN
αν,αν,SCONJ
ανά,ανά,ADP
ανάγκες,ανάγκη,NOUN
ανάγκη,ανάγκη,NOUN
ανάγκης,ανάγκη,NOUN
ανάγνωση,ανάγνωση,NOUN
ανάδοχοι,ανάδοχος,ADJ
ανάθεση,ανάθεση,NOUN
ανάθεσης,ανάθεση,NOUN
ανάκαμψη,ανάκαμψη,NOUN
ανάκρουση,ανάκρουση,NOUN
ανάκτησης,ανάκτηση,NOUN
ανάκτορο,ανάκτορο,NOUN
ανάλαβε,αναλαμβάνω,VERB
ανάληψη,ανάληψη,NOUN
ανάλογα,ανάλογα,ADJ
ανάλογα,ανάλογα,ADV
ανάλογα,ανάλογος,ADJ
ανάλογες,ανάλογος,ADJ
ανάλογη,ανάλογος,ADJ
ανάλογης,ανάλογος,ADJ
ανάλυσή,ανάλυση,NOUN
ανάλυση,ανάλυση,NOUN
ανάλωσης,ανάλωση,NOUN
ανάμειξη,ανάμειξη,NOUN
ανάμεσά,ανάμεσα,ADV
ανάμεσα,ανάμεσα,ADV
ανάμικτες,ανάμεικτος,ADJ
ανάπαυσης,ανάπαυση,NOUN
ανάπλασης,ανάπλαση,NOUN
ανάπτυξή,ανάπτυξη,NOUN
ανάπτυξη,ανάπτυξη,NOUN
ανάπτυξης,ανάπτυξη,NOUN
ανάρμοστης,ανάρμοστος,ADJ
ανάφερε,αναφέρω,VERB
ανέβαλε,αναβάλλω,VERB
ανέδειξε,αναδεικνύω,VERB
ανέθεσε,αναθέτω,VERB
ανέκαθεν,ανέκαθεν,ADV
ανέλαβαν,αναλαμβάνω,VERB
ανέλαβε,αναλαμβάνω,VERB
ανέλυσε,αναλύω,VERB
ανέμων,άνεμος,NOUN
ανέπτυξε,αναπτύσσω,VERB
ανέρχεται,ανέρχομαι,VERB
ανέρχονται,ανέρχομαι,VERB
ανέστειλαν,αναστέλλω,VERB
ανέτρεψε,ανατρέπω,VERB
ανέφερα,αναφέρω,VERB
ανέφεραν,αναφέρω,VERB
ανέφερε,αναφέρω,VERB
ανήκαν,ανήκω,VERB
ανήκει,ανήκω,VERB
ανήκουμε,ανήκω,VERB
ανήκουν,ανήκω,VERB
ανήλθε,ανέρχομαι,VERB
ανίτα,ανίτα,PROPN
αναβολή,αναβολή,NOUN
αναγγείλει,αναγγέλλω,VERB
αναγκάζει,αναγκάζω,VERB
αναγκάζονται,αναγκάζω,VERB
αναγκάζουν,αναγκάζω,VERB
αναγκάσει,αναγκάζω,VERB
αναγκάσουν,αναγκάζω,VERB
αναγκάστηκαν,αναγκάζω,VERB
αναγκάστηκε,αναγκάζω,VERB
αναγκαία,αναγκαίος,ADJ
αναγκαίες,αναγκαίος,ADJ
αναγκαίο,αναγκαίος,ADJ
αναγκαζόμαστε,αναγκάζω,VERB
αναγκαιότητα,αναγκαιότητα,NOUN
αναγκαστεί,αναγκάζω,VERB
αναγκαστικά,αναγκαστικά,ADV
αναγκαστική,αναγκαστικός,ADJ
αναγκαστούν,αναγκάζω,VERB
αναγκιάς,αναγκιά,PROPN
αναγνωρίζει,αναγνωρίζω,VERB
αναγνωρίζονταν,αναγνωρίζω,VERB
αναγνωρίζοντας,αναγνωρίζω,VERB
αναγνωρίζουν,αναγνωρίζω,VERB
αναγνωρίσατε,αναγνωρίζω,VERB
αναγνωρίσει,αναγνωρίζω,VERB
αναγνωρίσουμε,αναγνωρίζω,VERB
αναγνωρίστηκε,αναγνωρίζω,VERB
αναγνωρισθεί,αναγνωρίζω,VERB
αναγνωριστεί,αναγνωρίζω,VERB
αναγνώριση,αναγνώριση,NOUN
αναγνώρισης,αναγνώριση,NOUN
αναγνώσεων,ανάγνωση,NOUN
αναδείχτηκε,αναδεικνύω,VERB
αναδιάρθρωσης,αναδιάρθρωση,NOUN
αναδιαρθρώσεων,αναδιάρθρωση,NOUN
αναδιπλωθούμε,αναδιπλώνω,VERB
αναδόχους,ανάδοχος,NOUN
αναζήτηση,αναζήτηση,NOUN
αναζήτησης,αναζήτηση,NOUN
αναζητά,αναζητώ,VERB
αναζητούν,αναζητώ,VERB
αναζωογόνηση,αναζωογόνηση,NOUN
αναθέρμανση,αναθέρμανση,NOUN
αναθέσει,αναθέτω,VERB
αναθέτουσα,αναθέτουσα,ADJ
αναθέτουσας,αναθέτων,ADJ
αναθέτουσες,αναθέτων,ADJ
αναθερμανθεί,αναθερμαίνω,VERB
